"age","workclass","education_num","marital_status","occupation","race","sex","hour_per_week","income"
23,"Private",3,"Married","ManualLabour","White","Male",40,"<=50K"
36,"Private",10,"Divorced","ManualLabour","White","Male",40,"<=50K"
40,"Government",14,"Single","OfficeLabour","White","Female",55,">50K"
35,"Private",14,"Married","Professional","White","Male",40,">50K"
24,"SelfEmployed",9,"Single","Sales","White","Male",40,"<=50K"
26,"Private",14,"Single","Professional","White","Female",40,"<=50K"
51,"Private",13,"Married","OfficeLabour","White","Male",50,">50K"
42,"Government",10,"Single","Professional","White","Female",40,"<=50K"
37,"Government",9,"Divorced","OfficeLabour","White","Female",35,"<=50K"
18,"Private",7,"Single","Sales","White","Female",40,"<=50K"
36,"Private",13,"Married","Service","Black","Male",36,">50K"
35,"Private",9,"Divorced","ManualLabour","White","Male",60,"<=50K"
58,"SelfEmployed",9,"Married","Sales","White","Female",35,">50K"
17,"Private",7,"Single","Sales","White","Female",12,"<=50K"
44,"Government",9,"Married","ManualLabour","Black","Male",40,"<=50K"
37,"Private",9,"Married","ManualLabour","White","Male",40,">50K"
35,"Private",10,"Single","Sales","Amer-Indian-Eskimo","Female",40,"<=50K"
60,"Private",9,"Married","ManualLabour","Asian-Pac-Islander","Male",40,"<=50K"
54,"SelfEmployed",4,"Married","ManualLabour","White","Male",40,">50K"
37,"Private",13,"Single","OfficeLabour","Black","Male",60,">50K"
50,"Private",12,"Divorced","Sales","White","Female",40,"<=50K"
38,"Private",13,"Married","Sales","White","Male",50,"<=50K"
45,"Private",13,"Married","Professional","White","Male",55,"<=50K"
25,"Private",6,"Single","ManualLabour","White","Male",40,"<=50K"
31,"Private",10,"Married","ManualLabour","White","Male",40,"<=50K"
90,"Private",9,"Single","Service","Black","Male",40,"<=50K"
54,"Private",9,"Married","OfficeLabour","Black","Male",20,"<=50K"
53,"Government",1,"Single","ManualLabour","White","Female",35,"<=50K"
18,"Private",9,"Single","Sales","White","Female",40,"<=50K"
66,"SelfEmployed",9,"Married","ManualLabour","White","Male",50,"<=50K"
75,"Private",11,"Widowed","OfficeLabour","White","Female",20,"<=50K"
65,"Private",9,"Divorced","OfficeLabour","White","Female",40,"<=50K"
35,"Private",7,"Separated","ManualLabour","Black","Male",40,"<=50K"
41,"Private",9,"Divorced","Sales","Black","Female",38,"<=50K"
25,"Private",10,"Single","OfficeLabour","White","Male",42,"<=50K"
33,"Private",10,"Divorced","ManualLabour","Other","Female",40,"<=50K"
28,"Private",15,"Single","Professional","White","Male",55,">50K"
59,"Government",9,"Married","Service","White","Male",40,"<=50K"
40,"Government",10,"Single","OfficeLabour","White","Female",38,"<=50K"
41,"Private",13,"Married","OfficeLabour","White","Male",50,">50K"
38,"Government",14,"Married","OfficeLabour","White","Male",70,">50K"
23,"Private",9,"Single","ManualLabour","White","Male",40,"<=50K"
40,"Private",13,"Married","Professional","White","Male",40,">50K"
41,"SelfEmployed",9,"Married","Service","White","Female",20,"<=50K"
24,"Government",12,"Married","Service","White","Male",50,"<=50K"
38,"Private",10,"Divorced","ManualLabour","White","Male",40,"<=50K"
58,"Private",9,"Married","OfficeLabour","White","Male",45,">50K"
32,"Private",9,"Single","Service","White","Female",34,"<=50K"
40,"Private",12,"Married","Service","White","Male",60,">50K"
41,"Private",15,"Married","Professional","White","Female",40,">50K"
42,"Private",13,"Married","OfficeLabour","Black","Female",40,"<=50K"
59,"Government",6,"Widowed","Service","Black","Female",30,"<=50K"
19,"Government",10,"Single","OfficeLabour","White","Male",40,"<=50K"
58,"Private",10,"Single","ManualLabour","White","Male",20,"<=50K"
42,"SelfEmployed",9,"Married","ManualLabour","Asian-Pac-Islander","Male",40,">50K"
20,"Private",9,"Single","Service","White","Female",40,"<=50K"
32,"Private",9,"Separated","Service","White","Female",30,"<=50K"
45,"Private",11,"Widowed","OfficeLabour","White","Female",45,"<=50K"
50,"Private",4,"Divorced","ManualLabour","White","Male",40,"<=50K"
36,"Private",13,"Divorced","Professional","White","Female",40,"<=50K"
45,"Private",9,"Married","Sales","White","Male",60,"<=50K"
17,"Private",7,"Single","Service","White","Male",12,"<=50K"
59,"Private",10,"Married","Sales","White","Male",40,"<=50K"
26,"Private",7,"Married","ManualLabour","White","Male",40,"<=50K"
37,"SelfEmployed",10,"Married","OfficeLabour","Asian-Pac-Islander","Male",75,">50K"
64,"Private",9,"Married","OfficeLabour","White","Male",40,">50K"
33,"Private",13,"Single","Professional","White","Female",45,"<=50K"
33,"Private",9,"Married","ManualLabour","White","Female",40,">50K"
61,"Private",9,"Married","OfficeLabour","White","Male",40,">50K"
17,"Private",5,"Single","Service","White","Male",24,"<=50K"
50,"SelfEmployed",14,"Married","ManualLabour","White","Male",98,"<=50K"
27,"Government",14,"Single","Professional","White","Male",35,"<=50K"
30,"Private",9,"Divorced","Professional","White","Female",40,"<=50K"
43,"Private",9,"Married","ManualLabour","Black","Male",40,"<=50K"
44,"Private",10,"Married","ManualLabour","White","Male",40,">50K"
35,"Private",10,"Single","OfficeLabour","White","Female",40,"<=50K"
25,"Private",10,"Single","Service","White","Female",40,"<=50K"
24,"Private",10,"Married","ManualLabour","White","Female",48,">50K"
22,"Private",13,"Single","Professional","White","Female",15,"<=50K"
42,"Government",10,"Married","ManualLabour","White","Male",40,">50K"
34,"Private",12,"Divorced","Sales","Black","Female",45,"<=50K"
60,"Private",13,"Divorced","Professional","White","Female",42,"<=50K"
21,"Private",9,"Single","ManualLabour","White","Male",40,"<=50K"
57,"Government",14,"Married","Sales","White","Male",40,">50K"
41,"Private",15,"Married","Professional","White","Male",60,">50K"
50,"Private",10,"Divorced","Service","White","Male",45,"<=50K"
25,"Private",13,"Single","OfficeLabour","White","Female",40,"<=50K"
50,"Private",4,"Married","ManualLabour","White","Male",40,"<=50K"
36,"Private",13,"Married","Professional","White","Male",45,"<=50K"
31,"Private",9,"Divorced","Professional","White","Female",40,"<=50K"
29,"Government",13,"Single","Service","White","Male",56,"<=50K"
21,"Private",10,"Single","Sales","White","Male",45,"<=50K"
27,"Private",13,"Single","Service","Black","Female",40,"<=50K"
65,"Private",9,"Married","ManualLabour","White","Male",16,"<=50K"
37,"SelfEmployed",13,"Divorced","Sales","White","Female",60,"<=50K"
24,"Private",9,"Single","ManualLabour","White","Male",40,"<=50K"
38,"Private",9,"Divorced","Sales","White","Male",80,"<=50K"
48,"Private",13,"Married","OfficeLabour","White","Male",40,">50K"
21,"Private",10,"Single","Service","Asian-Pac-Islander","Female",25,"<=50K"
31,"Private",9,"Married","ManualLabour","White","Male",45,">50K"
55,"Private",9,"Married","Sales","White","Male",40,">50K"
24,"Private",10,"Married","OfficeLabour","Asian-Pac-Islander","Female",40,"<=50K"
43,"Private",9,"Divorced","OfficeLabour","White","Female",40,"<=50K"
26,"Private",12,"Single","Service","White","Male",45,"<=50K"
46,"Private",12,"Single","Professional","White","Female",33,"<=50K"
35,"Private",12,"Married","OfficeLabour","White","Male",40,">50K"
41,"SelfEmployed",10,"Married","ManualLabour","White","Male",54,">50K"
26,"Private",13,"Single","Sales","White","Male",40,"<=50K"
34,"Private",14,"Married","OfficeLabour","Asian-Pac-Islander","Male",35,">50K"
36,"SelfEmployed",13,"Divorced","Professional","Black","Female",40,">50K"
22,"Private",10,"Single","Sales","White","Male",15,"<=50K"
24,"Private",10,"Single","ManualLabour","White","Male",40,"<=50K"
77,"SelfEmployed",10,"Married","Sales","White","Male",40,"<=50K"
22,"Private",3,"Married","ManualLabour","White","Female",40,"<=50K"
29,"Private",10,"Single","Service","White","Female",40,"<=50K"
62,"Private",9,"Widowed","Service","White","Female",24,"<=50K"
39,"SelfEmployed",9,"Married","OfficeLabour","White","Male",40,"<=50K"
43,"Private",10,"Married","ManualLabour","White","Male",50,"<=50K"
35,"Private",9,"Divorced","ManualLabour","White","Male",45,"<=50K"
29,"Private",7,"Single","OfficeLabour","White","Female",40,"<=50K"
76,"SelfEmployed",14,"Married","ManualLabour","White","Male",10,"<=50K"
63,"SelfEmployed",9,"Married","ManualLabour","White","Male",45,"<=50K"
43,"Private",10,"Married","Professional","White","Female",50,">50K"
58,"SelfEmployed",9,"Married","ManualLabour","White","Male",40,"<=50K"
66,"Private",9,"Single","ManualLabour","White","Male",55,"<=50K"
41,"Private",10,"Single","ManualLabour","Black","Male",45,"<=50K"
26,"Private",13,"Single","OfficeLabour","White","Male",40,"<=50K"
47,"Private",11,"Single","Service","White","Male",40,"<=50K"
55,"Government",6,"Married","OfficeLabour","White","Male",40,"<=50K"
53,"Private",9,"Married","ManualLabour","White","Male",40,"<=50K"
17,"Private",3,"Single","Service","White","Male",48,"<=50K"
30,"Private",9,"Single","ManualLabour","White","Male",40,"<=50K"
49,"Private",14,"Single","Professional","White","Male",60,"<=50K"
19,"Private",9,"Single","Sales","Black","Male",30,"<=50K"
45,"Private",9,"Married","Service","Black","Male",40,"<=50K"
26,"Private",12,"Single","Sales","White","Male",40,"<=50K"
38,"Private",11,"Married","ManualLabour","White","Male",40,">50K"
36,"Government",9,"Married","Service","White","Male",40,">50K"
33,"Private",9,"Single","ManualLabour","White","Male",20,"<=50K"
22,"Government",10,"Single","Service","Black","Female",40,"<=50K"
43,"SelfEmployed",13,"Single","Sales","White","Male",42,"<=50K"
56,"Private",12,"Married","Service","White","Male",25,"<=50K"
31,"Private",13,"Single","Professional","White","Male",25,"<=50K"
33,"Private",13,"Married","OfficeLabour","White","Male",40,">50K"
26,"Private",9,"Married","Service","White","Male",40,"<=50K"
33,"Private",13,"Married","OfficeLabour","White","Male",40,">50K"
46,"Government",7,"Married","ManualLabour","White","Male",30,"<=50K"
38,"Government",9,"Married","OfficeLabour","White","Male",40,">50K"
65,"Private",7,"Widowed","Service","Other","Male",40,"<=50K"
40,"Private",11,"Married","Service","White","Male",40,">50K"
42,"Private",9,"Married","OfficeLabour","White","Female",35,"<=50K"
26,"SelfEmployed",5,"Married","ManualLabour","White","Male",40,"<=50K"
36,"Private",6,"Married","Service","White","Female",24,"<=50K"
62,"Private",14,"Married","Professional","White","Male",40,">50K"
43,"Private",13,"Married","ManualLabour","White","Male",45,"<=50K"
43,"Private",13,"Divorced","OfficeLabour","White","Male",45,">50K"
22,"Private",9,"Married","Sales","White","Male",55,"<=50K"
28,"Private",9,"Married","ManualLabour","White","Male",40,"<=50K"
56,"SelfEmployed",10,"Married","Sales","White","Male",45,"<=50K"
22,"Private",12,"Single","Sales","White","Female",15,"<=50K"
57,"Private",13,"Divorced","OfficeLabour","White","Female",45,">50K"
39,"Private",9,"Divorced","Sales","White","Female",40,"<=50K"
26,"Government",10,"Single","OfficeLabour","White","Female",15,"<=50K"
17,"Private",7,"Single","Service","White","Male",10,"<=50K"
40,"Government",11,"Married","ManualLabour","White","Male",38,">50K"
45,"Private",9,"Married","ManualLabour","Black","Male",40,"<=50K"
44,"Private",9,"Single","ManualLabour","Black","Male",40,"<=50K"
20,"Government",10,"Single","OfficeLabour","White","Female",10,"<=50K"
33,"Private",9,"Married","ManualLabour","White","Female",40,"<=50K"
23,"Private",10,"Single","Sales","White","Male",40,"<=50K"
46,"SelfEmployed",14,"Divorced","OfficeLabour","White","Male",30,"<=50K"
38,"Private",9,"Married","Sales","White","Male",50,"<=50K"
54,"Private",9,"Divorced","ManualLabour","White","Male",40,"<=50K"
46,"Private",3,"Divorced","ManualLabour","White","Female",45,"<=50K"
25,"Private",10,"Married","ManualLabour","White","Male",40,"<=50K"
46,"Private",10,"Divorced","Sales","White","Female",40,"<=50K"
36,"Government",10,"Married","ManualLabour","White","Female",40,"<=50K"
23,"Private",9,"Single","Service","White","Female",25,"<=50K"
29,"Private",9,"Separated","ManualLabour","White","Male",40,"<=50K"
44,"Private",10,"Married","OfficeLabour","White","Female",6,">50K"
19,"Private",10,"Single","OfficeLabour","White","Female",16,"<=50K"
19,"Private",9,"Single","Service","White","Female",40,"<=50K"
35,"Private",9,"Married","Service","White","Female",40,">50K"
27,"Private",13,"Single","ManualLabour","White","Male",50,"<=50K"
46,"SelfEmployed",12,"Separated","ManualLabour","White","Male",40,"<=50K"
34,"Private",9,"Single","Service","White","Female",35,"<=50K"
44,"Private",10,"Married","Service","White","Male",40,"<=50K"
45,"Private",10,"Divorced","ManualLabour","White","Female",40,"<=50K"
25,"Private",13,"Married","OfficeLabour","White","Male",55,">50K"
52,"SelfEmployed",13,"Married","OfficeLabour","White","Male",50,">50K"
20,"Private",10,"Single","ManualLabour","White","Male",40,"<=50K"
28,"Private",10,"Single","Service","White","Female",40,"<=50K"
50,"Government",13,"Married","Service","White","Male",40,">50K"
34,"Private",11,"Divorced","Service","White","Female",64,"<=50K"
28,"Private",4,"Married","ManualLabour","Other","Male",40,"<=50K"
41,"Private",14,"Married","OfficeLabour","White","Male",65,">50K"
28,"Private",9,"Married","OfficeLabour","White","Male",40,"<=50K"
46,"SelfEmployed",9,"Married","ManualLabour","White","Male",25,"<=50K"
32,"Private",10,"Married","OfficeLabour","White","Male",50,"<=50K"
41,"Government",10,"Divorced","Service","Black","Female",24,"<=50K"
24,"Private",9,"Single","ManualLabour","Black","Female",40,"<=50K"
33,"Private",10,"Divorced","OfficeLabour","White","Female",40,"<=50K"
46,"Private",16,"Married","OfficeLabour","White","Male",60,">50K"
31,"Government",10,"Married","ManualLabour","White","Male",40,"<=50K"
35,"Private",8,"Divorced","ManualLabour","White","Male",50,">50K"
52,"Private",2,"Married","ManualLabour","White","Male",40,"<=50K"
30,"Private",7,"Single","Service","White","Female",19,"<=50K"
34,"Government",7,"Separated","ManualLabour","Black","Male",40,"<=50K"
34,"Government",9,"Divorced","ManualLabour","White","Female",40,"<=50K"
20,"Private",10,"Married","Sales","White","Male",30,"<=50K"
17,"Private",7,"Single","ManualLabour","White","Male",18,"<=50K"
32,"Government",13,"Married","OfficeLabour","White","Female",40,">50K"
29,"Private",9,"Divorced","ManualLabour","White","Male",40,"<=50K"
33,"Private",6,"Single","ManualLabour","White","Female",35,"<=50K"
25,"Private",9,"Married","ManualLabour","White","Male",60,"<=50K"
36,"Government",14,"Single","Professional","White","Male",40,"<=50K"
23,"Private",9,"Single","ManualLabour","White","Male",72,"<=50K"
63,"SelfEmployed",9,"Married","OfficeLabour","White","Male",40,">50K"
47,"Government",14,"Married","Professional","White","Male",40,"<=50K"
40,"SelfEmployed",13,"Married","Professional","White","Female",40,"<=50K"
30,"Private",12,"Married","Service","White","Female",25,">50K"
27,"Private",10,"Single","ManualLabour","Asian-Pac-Islander","Male",40,"<=50K"
33,"Private",14,"Married","Professional","White","Male",50,">50K"
34,"Government",9,"Single","ManualLabour","Black","Male",60,"<=50K"
34,"Government",10,"Single","Service","White","Female",40,"<=50K"
23,"Private",10,"Married","OfficeLabour","White","Male",40,"<=50K"
42,"Government",10,"Married","OfficeLabour","White","Female",40,"<=50K"
29,"Private",13,"Single","Professional","White","Male",40,"<=50K"
45,"Private",9,"Divorced","OfficeLabour","White","Female",28,"<=50K"
24,"Government",9,"Single","Unknown","White","Male",40,"<=50K"
44,"Private",10,"Married","Professional","White","Male",40,">50K"
27,"Private",5,"Single","ManualLabour","White","Male",40,"<=50K"
20,"Private",10,"Single","Sales","White","Male",35,"<=50K"
44,"Private",9,"Widowed","OfficeLabour","Black","Female",40,"<=50K"
51,"Private",9,"Married","ManualLabour","Amer-Indian-Eskimo","Male",40,"<=50K"
20,"Private",9,"Married","ManualLabour","White","Male",40,"<=50K"
19,"Private",9,"Single","ManualLabour","Black","Female",40,"<=50K"
45,"SelfEmployed",10,"Married","ManualLabour","White","Male",55,">50K"
60,"Private",9,"Married","ManualLabour","White","Male",40,">50K"
44,"SelfEmployed",9,"Married","Sales","White","Female",40,">50K"
40,"Private",11,"Married","ManualLabour","Asian-Pac-Islander","Male",40,">50K"
30,"Private",9,"Married","OfficeLabour","White","Female",40,"<=50K"
38,"Private",10,"Married","ManualLabour","Black","Male",50,"<=50K"
23,"Private",9,"Married","ManualLabour","White","Male",60,"<=50K"
44,"Private",12,"Single","ManualLabour","White","Male",40,"<=50K"
